account,post_date,post_type,pillar,format,hook_type,hook_text,topic,caption_intent,cta,posting_context,views,reach,avg. watch time,likes,comments,shares,reposts,saves,follows,profile visits,followers %,non_followers%,collab,audio_type,post_link,notes,engagement_rate,save_rate,share_rate,follow_conversion
old,2025-12-18,Reel,Nigerian Student,Aesthetic Montage,Relatable Thought,POV: surprising my siblings who think I'm in a different continent,missing family,relatable,None,Winter break,"21,490","15,852",12,2004,64,50,44,35,9,9,7.10%,92.90%,No,Trending,https://www.instagram.com/reel/DSbHrA_AtQJ/?utm_source=ig_web_copy_link,,13.58%,0.22%,0.32%,0.06%
old,2025-08-27,Reel,Nigerian Student,Aesthetic Montage,Bold Statement,rich because ...,College African Cookout,Storytelling,None,School week,7711,5275,8,495,15,21,5,11,4,4,17.70%,82.30%,No,Trending,,,10.27%,0.21%,0.40%,0.08%
old,2025-04-10,Reel,Nigerian Student,Aesthetic Montage,Bold Statement,POV: you go to a PWI...,African Night,Storytelling,None,School Event,7439,4340,7,232,23,28,1,4,2,2,20.40%,79.60%,No,Trending,,,6.61%,0.09%,0.65%,0.05%
old,2025-12-17,Reel,Nigerian Student,"Aesthetic Montage, Vlog-style",Bold Statement,let's travel to Another Continent,travel vlog,Storytelling,None,Winter break,3878,2656,8,164,8,0,2,2,0,0,21.70%,78.30%,No,Trending,,,6.55%,0.08%,0.00%,0.00%
old,2025-07-22,Reel,Tech/Career,Aesthetic Montage,Bold Statement,started off as pre-med....,summer internship,Storytelling,None,Summer,3997,2657,7,222,24,3,1,4,2,2,26.30%,73.70%,No,Trending,,,9.52%,0.15%,0.11%,0.08%
old,2025-12-11,Reel,Fitness,Aesthetic Montage,Bold Statement,culprit is dressed in black...,back flex,relatable,None,Trending,4213,4213,7,184,16,12,4,6,3,3,28.60%,71.40%,No,Trending,,,5.17%,0.14%,0.28%,0.07%
old,2025-08-24,Carousel,Me/Personality,Aesthetic Montage,Bold Statement,goodbye summer pt1,summer recap,relatable,None,Summer,7045,147,,147,9,9,2,4,3,58,27.20%,72.80%,No,,,,114.97%,2.72%,6.12%,2.04%
old,2026-01-08,Reel,Nigerian Student,"Vlog-style, Aesthetic Montage",Bold Statement,let's go to school,travel vlog,Storytelling,None,School Event,3588,2077,16,206,11,4,4,10,2,2,23.40%,76.60%,No,,,,11.12%,0.48%,0.19%,0.10%
old,2025-06-06,Reel,Me/Personality,Aesthetic Montage,Emotional / Faith-Based,again insecurities....,confidence,relatable,None,Other,3193,2027,5,185,10,6,1,6,0,0,24.40%,75.60%,No,,,,10.21%,0.30%,0.30%,0.00%
old,2025-12-26,Reel,Me/Personality,Aesthetic Montage,Bold Statement,why do you still create content,creating content,Motivational / Discipline,None,Other,4818,1959,6,195,19,3,1,4,9,0,35.80%,64.20%,,,,,11.28%,0.20%,0.15%,0.46%
